id,artist,before,after
75,基恩敬拜,神大愛God's Magnificent Love (現場版) 禱告更新2025AGWMM Official Live,神大愛God's Magnificent Love (現場版) 禱告更新2025AGWMM
78,基恩敬拜,神在這裏God Is Here (現場版) 禱告更新2025AGWMM Official Live,神在這裏God Is Here (現場版) 禱告更新2025AGWMM
82,基恩敬拜,下雨天的平安Peace In Rainy Days (現場版) 禱告更新2024AGWMM Official Live,下雨天的平安Peace In Rainy Days (現場版) 禱告更新2024AGWMM
86,ACM,【我渴想 / THIRST】HK -「我的渴想是要全心全意敬拜祢」,【我渴想 / THIRST】 -「我的渴想是要全心全意敬拜祢」
92,ACM,【天父總會看顧】HK 齊唱兒歌6 兒童詩歌,【天父總會看顧】 齊唱兒歌6 兒童詩歌
93,ACM,看見憐憫 - 齊唱兒歌2020 (官方完整CD版),看見憐憫 - 齊唱兒歌2020
98,ACM,一首讚美的詩歌 / Lyric HD 粵語詩歌,一首讚美的詩歌 / Lyric 粵語詩歌
99,ACM,【晴天雨天】官方歌詞 - TBM,晴天雨天
103,ACM,小小敬拜者齊唱兒歌DVD (官方動作版),小小敬拜者齊唱兒歌
110,玻璃海,神的帳幕在人間 (CD Version),神的帳幕在人間
112,玻璃海,【主日敬拜】 樂團 WorshipNations 萬主之主萬王之王 永遠聖潔 這小小的雙手 （2025年11月30日）,【主日敬拜】 樂團 WorshipNations 萬主之主萬王之王 永遠聖潔 這小小的雙手 (2025年11月30日)
116,玻璃海,我要一生一世住在你聖殿 (CD Version),我要一生一世住在你聖殿
117,團契遊樂園,偶然遇上的驚喜 薪火永傳（基督教詩歌）,偶然遇上的驚喜 薪火永傳(基督教詩歌)
118,團契遊樂園,路邊的一課 揀選 （基督教詩歌）,路邊的一課 揀選 (基督教詩歌)
119,團契遊樂園,有了祢異象 揀選 （基督教詩歌）,有了祢異象 揀選 (基督教詩歌)
120,團契遊樂園,讓我高飛 揀選 （基督教詩歌）,讓我高飛 揀選 (基督教詩歌)
121,團契遊樂園,得祢愛我 應許（基督教詩歌）,得祢愛我 應許(基督教詩歌)
122,團契遊樂園,若你能看見 應許（基督教詩歌）,若你能看見 應許(基督教詩歌)
123,團契遊樂園,薪火永傳 薪火永傳（基督教詩歌）,薪火永傳 薪火永傳(基督教詩歌)
124,團契遊樂園,以感恩為祭 應許（基督教詩歌）,以感恩為祭 應許(基督教詩歌)
125,團契遊樂園,唯獨恩主 應許（基督教詩歌）,唯獨恩主 應許(基督教詩歌)
126,團契遊樂園,飄流日記 揀選 （基督教詩歌）,飄流日記 揀選 (基督教詩歌)
127,團契遊樂園,這樣的愛 揀選 （基督教詩歌）,這樣的愛 揀選 (基督教詩歌)
128,團契遊樂園,我信愛是恆久 薪火永傳（基督教詩歌）,我信愛是恆久 薪火永傳(基督教詩歌)
129,團契遊樂園,原來是耶穌 揀選 （基督教詩歌）,原來是耶穌 揀選 (基督教詩歌)
130,團契遊樂園,活著因袮愛 耶穌我深愛你（基督教詩歌）,活著因袮愛 耶穌我深愛你(基督教詩歌)
131,團契遊樂園,主喜悅的事 揀選 （基督教詩歌）,主喜悅的事 揀選 (基督教詩歌)
132,團契遊樂園,全心敬拜 耶穌我深愛你（基督教詩歌）,全心敬拜 耶穌我深愛你(基督教詩歌)
133,團契遊樂園,陶造我生命伴我成長1（經典基督教詩歌 推介）,陶造我生命伴我成長1(經典基督教詩歌 推介)
134,團契遊樂園,願我屈膝袮跟前 信心之火（基督教詩歌）,願我屈膝袮跟前 信心之火(基督教詩歌)
136,團契遊樂園,投靠主的人 耶穌我深愛你（基督教詩歌）,投靠主的人 耶穌我深愛你(基督教詩歌)
137,團契遊樂園,誰曾應許 應許（基督教詩歌）,誰曾應許 應許(基督教詩歌)
138,團契遊樂園,古老的愛 薪火永傳（基督教詩歌）,古老的愛 薪火永傳(基督教詩歌)
139,團契遊樂園,雲彩 環遊世界（基督教詩歌）,雲彩 環遊世界(基督教詩歌)
140,團契遊樂園,超過言語能述說 求主賜我異象（基督教詩歌）,超過言語能述說 求主賜我異象(基督教詩歌)
141,團契遊樂園,認識你是祢 耶穌我深愛你（基督教詩歌）,認識你是祢 耶穌我深愛你(基督教詩歌)
142,團契遊樂園,揀選 揀選 （基督教詩歌）,揀選 揀選 (基督教詩歌)
143,角聲使團,The Heralders 敬拜無界限 Boundless Worship Ep. 1【至高尊貴的祢 無可比的愛 原來有祢 因著信】(4K UHD),The Heralders 敬拜無界限 Boundless Worship Ep. 1【至高尊貴的祢 無可比的愛 原來有祢 因著信】
144,角聲使團,The Heralders 晨曦盼望 Dawn of Hope (4K UHD),The Heralders 晨曦盼望 Dawn of Hope
145,角聲使團,愛的保證 （重投豐盛專輯）,愛的保證 (重投豐盛專輯)
148,角聲使團,全然歸祢（重投豐盛專輯）,全然歸祢(重投豐盛專輯)
