id,artist,before,after
70,基恩敬拜,再次站起來Standing up again - AGWMM,再次站起來Standing up again
71,基恩敬拜,陪我渡過You Were With Me AGWMM,陪我渡過You Were With Me
72,基恩敬拜,普天頌讚Songs Of Universal Praise AGWMM,普天頌讚Songs Of Universal Praise
73,基恩敬拜,有祢同行With You by my side - AGWMM,有祢同行With You by my side
74,基恩敬拜,信心的等待Wait with faith - AGWMM,信心的等待Wait with faith
75,基恩敬拜,神大愛God's Magnificent Love (現場版) 禱告更新2025AGWMM,神大愛God's Magnificent Love (現場版)
76,基恩敬拜,復興我Revive Me - AGWMM,復興我Revive Me
77,基恩敬拜,惟獨祢Only You AGWMM,惟獨祢Only You
78,基恩敬拜,神在這裏God Is Here (現場版) 禱告更新2025AGWMM,神在這裏God Is Here (現場版)
79,基恩敬拜,唱唱跳跳讚美神Sing And Dance To Praise God-祈禱仔兒童敬拜系列 AGWMM,唱唱跳跳讚美神Sing And Dance To Praise God-祈禱仔兒童敬拜系列
80,基恩敬拜,一生讚美祢Praise You All My Life AGWMM,一生讚美祢Praise You All My Life
81,基恩敬拜,信靠禱告Faithful Prayer AGWMM,信靠禱告Faithful Prayer
82,基恩敬拜,下雨天的平安Peace In Rainy Days (現場版) 禱告更新2024AGWMM,下雨天的平安Peace In Rainy Days (現場版)
83,基恩敬拜,俯伏敬拜祢Bow down and worship You - AGWMM,俯伏敬拜祢Bow down and worship You
84,基恩敬拜,請堅固我Lord Please Strengthen Me AGWMM,請堅固我Lord Please Strengthen Me
370,有情天音樂,05 耶和華的心,耶和華的心
669,Hillsong Worship,Christian Worship Songs 2025 🙏 Best Praise,Christian Worship Songs 2025 Best Praise
671,Hillsong Worship,TOP HOT Of The Most FAMOUS Songs COLLECTION🙏HILLSO,TOP HOT Of The Most FAMOUS Songs COLLECTION HILLSO
672,Hillsong Worship,Best Songs 2026 ✝️ | Top Praise & Gospel Ch,Best Songs 2026 | Top Praise & Gospel Ch
675,Hillsong Worship,Best Of United ✝️ Playlist Praise & Worshi,Best Of United Playlist Praise & Worshi
