class	platform	deviceIdShort	rows	daysSeen	firstSeen	lastSeen	reason
real	ios	e1b6dc8a	258	4	2026-09-02	2026-09-05	R1:出現喺 app-version.json 嘅 hlsDeviceIds(獨立來源確認,HLS-EXEC-D123-GATE-20260901 §3)
unknown	ios	(none)	2583	13	2026-08-23	2026-09-05	R0:row 冇 deviceId(2026-08-31 之前嘅歷史行,呢個欄仲未加入白名單),唔可以歸機
sim	ios	df3e6a93	84	1	2026-09-02	2026-09-02	R2(b-ii):單一曆日 + 完全冇生命週期 beacon(perfMarks/perfHome/perfNav/perfRenders),淨播放 event 連環爆
unverified	android	b3bba247	73	1	2026-09-05	2026-09-05	R3:Android 且唔喺 hlsDeviceIds——冇任何獨立來源確認係真機定係持久化 AVD,唔可以當真用戶 baseline(1E §1 第 3 點)
sim	ios	99c1defd	45	1	2026-09-02	2026-09-02	R2(b-i):單一曆日 + perfMarks 同日 11 次(≥2)——似同一日開咗多過一次 app
unverified	android	46f35588	45	1	2026-09-05	2026-09-05	R3:Android 且唔喺 hlsDeviceIds——冇任何獨立來源確認係真機定係持久化 AVD,唔可以當真用戶 baseline(1E §1 第 3 點)
sim	ios	d6b0638e	39	1	2026-09-05	2026-09-05	R2(b-i):單一曆日 + perfMarks 同日 7 次(≥2)——似同一日開咗多過一次 app
unverified	android	d03463c3	33	3	2026-09-02	2026-09-05	R3:Android 且唔喺 hlsDeviceIds——冇任何獨立來源確認係真機定係持久化 AVD,唔可以當真用戶 baseline(1E §1 第 3 點)
sim	ios	b0b3ad1a	24	1	2026-09-02	2026-09-02	R2(b-i):單一曆日 + perfMarks 同日 7 次(≥2)——似同一日開咗多過一次 app
unknown	ios	f4595847	23	1	2026-09-05	2026-09-05	R4:iOS 但唔中 R1/R2(跨 1 個曆日,maxPerfMarksSameDay=1,hasLifecycle=true)
sim	ios	f39fba94	17	1	2026-09-05	2026-09-05	R2(b-i):單一曆日 + perfMarks 同日 4 次(≥2)——似同一日開咗多過一次 app
sim	ios	7e9407a6	16	1	2026-09-02	2026-09-02	R2(b-i):單一曆日 + perfMarks 同日 4 次(≥2)——似同一日開咗多過一次 app
sim	ios	0ae6ff0c	15	1	2026-09-03	2026-09-03	R2(b-i):單一曆日 + perfMarks 同日 2 次(≥2)——似同一日開咗多過一次 app
sim	ios	7d12eaf9	14	1	2026-09-02	2026-09-02	R2(b-i):單一曆日 + perfMarks 同日 4 次(≥2)——似同一日開咗多過一次 app
sim	ios	90412aa2	7	1	2026-09-02	2026-09-02	R2(b-i):單一曆日 + perfMarks 同日 2 次(≥2)——似同一日開咗多過一次 app
sim	ios	3b543f6f	7	1	2026-09-02	2026-09-02	R2(b-i):單一曆日 + perfMarks 同日 2 次(≥2)——似同一日開咗多過一次 app
sim	ios	7bc91261	7	1	2026-09-02	2026-09-02	R2(b-i):單一曆日 + perfMarks 同日 2 次(≥2)——似同一日開咗多過一次 app
sim	ios	34b5fefd	7	1	2026-09-02	2026-09-02	R2(b-i):單一曆日 + perfMarks 同日 2 次(≥2)——似同一日開咗多過一次 app
